Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,4,TSU,SOFT,4.0,11.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,VER,SOFT,4.0,10.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,5,ALB,MEDIUM,1.0,22.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,ALO,MEDIUM,2.0,19.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,ANT,MEDIUM,1.0,19.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,BEA,MEDIUM,1.0,18.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,BOR,MEDIUM,1.0,1.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,DOO,MEDIUM,1.0,1.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,GAS,MEDIUM,1.0,1.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,HAD,HARD,1.0,34.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,HAM,MEDIUM,1.0,23.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
