Year,Round,GrandPrix,CircuitName,CircuitType,Location,Country,Driver,Team,LapTime_seconds,Sector1Time,Sector2Time,Sector3Time,Tyre,TyreLife,FreshTyre,TrackStatus,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,PER,Red Bull Racing,79.42,22.194,29.761,27.465,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,RIC,McLaren,80.287,22.243,30.158,27.886,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,RUS,Mercedes,79.393,21.936,29.735,27.722,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,SAI,Ferrari,79.166,22.189,29.583,27.394,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,STR,Aston Martin,81.418,22.611,30.41,28.397,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,TSU,AlphaTauri,80.639,22.262,30.393,27.984,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,VER,Red Bull Racing,79.073,21.978,29.684,27.411,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,VET,Aston Martin,80.954,22.433,30.324,28.197,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,ZHO,Alfa Romeo,80.476,22.376,30.23,27.87,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,ALB,Williams,73.611,19.518,34.728,19.365,SOFT,2.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,ALO,Alpine,72.247,19.08,34.086,19.081,SOFT,2.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,BOT,Alfa Romeo,72.909,19.31,34.445,19.154,SOFT,2.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,GAS,AlphaTauri,73.66,19.71,34.553,19.397,SOFT,5.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,HAM,Mercedes,72.56,19.142,34.23,19.188,SOFT,7.0,False,12,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,LAT,Williams,74.403,19.904,35.01,19.489,SOFT,2.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
2022,7,Monaco Grand Prix,Monaco Grand Prix,permanent,Monaco,Monaco,LEC,Ferrari,71.376,18.872,33.738,18.766,SOFT,2.0,True,1,True,27.6,37.0,1004.0,False,0.8,344
